"","N","A0_unstable","A0_stable","A1_unstable","A1_stable","A1_stabilised","A1_destabilised","A0_infeasible","A0_feasible","A1_infeasible","A1_feasible","A1_made_feasible","A1_made_infeasible","A0_rho","A1_rho","rho_diff","rho_abs","complex_A0","complex_A1"
"1",1,0,2e+05,0,2e+05,0,0,100129,99871,100129,99871,0,0,NA,NA,NA,NA,NA,NA
"2",2,0,2e+05,0,2e+05,0,0,149857,50143,149646,50354,7347,7136,NA,NA,NA,NA,0.637359007909491,0.637901064298425
"3",3,0,2e+05,0,2e+05,0,0,176308,23692,175518,24482,8261,7471,3.4144675083024e-05,0.0536520447252013,0.0536179000501182,-0.00621499250945272,0.704924392226026,0.752065296579755
"4",4,0,2e+05,0,2e+05,0,0,189852,10148,188986,11014,5724,4858,-5.75363715235147e-06,0.0448274636709223,0.0448332173080747,-0.00699696240560471,0.805850039401128,0.881978035462289
"5",5,2,199998,2,199998,0,0,196142,3858,195562,4438,3019,2439,0.000883675504597398,0.0386525886988591,0.0377689131942617,-0.00850614890311069,0.89772421881891,0.997421452519047
"6",6,5,199995,5,199995,0,0,198649,1351,198332,1668,1332,1015,0.00103298195779233,0.0319470883444772,0.0309141063866849,-0.00664421784725102,0.981652518568224,1.09976757061475
"7",7,25,199975,25,199975,0,0,199612,388,199444,556,497,329,7.5810992958801e-05,0.0272086872984788,0.02713287630552,-0.00614653237172195,1.05990726430955,1.19412869054848
"8",8,76,199924,77,199923,0,1,199914,86,199838,162,154,78,-0.00037189758144565,0.023979885185956,0.0243517827674017,-0.00574124520479188,1.13291787957889,1.28073675817853
"9",9,132,199868,132,199868,0,0,199979,21,199963,37,36,20,0.000352392218319356,0.021209408156403,0.0208570159380837,-0.00481283620093243,1.20104812151206,1.3620164672357
"10",10,269,199731,270,199730,0,1,199994,6,199993,7,7,6,0.000133545061418009,0.0194075415412764,0.0192739964798584,-0.00385705790568018,1.26574013074401,1.43839430376425
"11",11,528,199472,534,199466,0,6,199999,1,199997,3,3,1,0.000513819009778506,0.0184426719386263,0.0179288529288478,-0.00371063580171037,1.32707019792816,1.51047666898838
"12",12,889,199111,905,199095,0,16,2e+05,0,2e+05,0,0,0,-0.000246411528695285,0.0164678663582926,0.0167142778869879,-0.0036358817899026,1.38634231933647,1.58013192755482
"13",13,1473,198527,1508,198492,0,35,2e+05,0,2e+05,0,0,0,-6.91387381906501e-05,0.0152076269222707,0.0152767656604614,-0.00294974163813768,1.44316309935158,1.6467272274123
"14",14,2516,197484,2566,197434,3,53,2e+05,0,2e+05,0,0,0,5.88094640882228e-05,0.0141666876556609,0.0141078781915727,-0.00299370018928637,1.49784163833305,1.71081717685767
"15",15,3694,196306,3796,196204,15,117,2e+05,0,2e+05,0,0,0,-5.52114011221883e-05,0.0130424055873307,0.0130976169884529,-0.00249953246312465,1.54944554302858,1.77148374782493
"16",16,5455,194545,5613,194387,27,185,2e+05,0,2e+05,0,0,0,0.00015906554497217,0.0127250668562394,0.0125660013112672,-0.00253208389334204,1.60015120856861,1.8309752328874
"17",17,7691,192309,7944,192056,70,323,2e+05,0,2e+05,0,0,0,2.01842970884281e-05,0.0116810846715112,0.0116609003744228,-0.00235895414686733,1.64912496799868,1.88812176465479
"18",18,10453,189547,10755,189245,143,445,2e+05,0,2e+05,0,0,0,2.25779956307623e-05,0.0112461740884499,0.0112235960928191,-0.00230925217871175,1.6965295660703,1.94332444702938
"19",19,13841,186159,14340,185660,251,750,2e+05,0,2e+05,0,0,0,-0.00026795420567282,0.0103678546504994,0.0106358088561722,-0.00201915512763966,1.74340726587636,1.99826546771169
"20",20,18728,181272,19294,180706,521,1087,2e+05,0,2e+05,0,0,0,0.000111046316597923,0.00991956318478598,0.00980851686818806,-0.00194393153335482,1.78976105068465,2.05187199105599
"21",21,23488,176512,24188,175812,850,1550,2e+05,0,2e+05,0,0,0,-0.000306953133426598,0.00927327263727543,0.00958022577070203,-0.00176499135280177,1.8341012301077,2.10323363755174
"22",22,29862,170138,30680,169320,1361,2179,2e+05,0,2e+05,0,0,0,0.000355546547019094,0.00918794066699632,0.00883239411997722,-0.00172141846320452,1.87613144777788,2.15272859529016
"23",23,36777,163223,37615,162385,2036,2874,2e+05,0,2e+05,0,0,0,0.000112510499993468,0.00866897587527147,0.008556465375278,-0.00148839233528847,1.91927867359394,2.20248144307751
"24",24,44528,155472,45228,154772,3043,3743,2e+05,0,2e+05,0,0,0,3.54684271598054e-05,0.00821161312469125,0.00817614469753145,-0.0014270937548341,1.95925298973421,2.24940786286737
"25",25,53651,146349,54015,145985,4250,4614,2e+05,0,2e+05,0,0,0,-8.90446445517102e-05,0.00787574667385923,0.00796479131841094,-0.00163637013782436,1.99983933768444,2.29639645090447
"26",26,63198,136802,63268,136732,5439,5509,2e+05,0,2e+05,0,0,0,-9.53782266007335e-05,0.00753437855886637,0.0076297567854671,-0.0014877955276373,2.03993311067656,2.34303159102719
"27",27,73994,126006,73198,126802,7308,6512,2e+05,0,2e+05,0,0,0,8.83296954775183e-05,0.0073970623888875,0.00730873269340998,-0.0012897842787002,2.07848131469498,2.38798802781235
"28",28,85331,114669,83956,116044,8860,7485,2e+05,0,2e+05,0,0,0,-0.000111463438813069,0.00702350638988532,0.00713496982869838,-0.00132244279726376,2.11761950937626,2.43303836183962
"29",29,96838,103162,94529,105471,10650,8341,2e+05,0,2e+05,0,0,0,-1.94397184133954e-05,0.00685660963218678,0.00687604935060018,-0.00131339096091193,2.15482688097328,2.47601644618564
"30",30,108968,91032,105662,94338,12350,9044,2e+05,0,2e+05,0,0,0,3.77188567303944e-05,0.00661727460684199,0.0065795557501116,-0.00121453555168083,2.19107700995627,2.51853731108892
"31",31,121312,78688,117018,82982,13707,9413,2e+05,0,2e+05,0,0,0,0.000121260312205232,0.00650526425766164,0.00638400394545641,-0.00128791204714414,2.22847460296015,2.56164405265762
"32",32,132982,67018,127420,72580,14869,9307,2e+05,0,2e+05,0,0,0,-8.58059369926613e-05,0.00619573792852047,0.00628154386551314,-0.00105819294137774,2.26281297221573,2.60191750202133
"33",33,143793,56207,137872,62128,15158,9237,2e+05,0,2e+05,0,0,0,0.000103558287842217,0.00612660477149625,0.00602304648365403,-0.00107705743699167,2.29832498779462,2.64260470444149
"34",34,153982,46018,147298,52702,15376,8692,2e+05,0,2e+05,0,0,0,5.59550235816061e-05,0.00602595667883153,0.00597000165524993,-0.00113771326241665,2.33354477331468,2.68372579840686
"35",35,163372,36628,156550,43450,14856,8034,2e+05,0,2e+05,0,0,0,-4.44685533824765e-05,0.00569953992652725,0.00574400847990973,-0.0011660494189384,2.36743382810913,2.72319489728384
"36",36,171728,28272,164570,35430,14140,6982,2e+05,0,2e+05,0,0,0,-0.000334976886671316,0.00537631970220056,0.00571129658887188,-0.00109452864844639,2.39949191542765,2.76079706673638
"37",37,178608,21392,171711,28289,12814,5917,2e+05,0,2e+05,0,0,0,7.98552458788716e-05,0.0053313928926037,0.00525153764672483,-0.000954033927784206,2.43263022163888,2.79882362873778
"38",38,184160,15840,177885,22115,11326,5051,2e+05,0,2e+05,0,0,0,2.05759860527494e-05,0.00524188628481244,0.00522131029875969,-0.000983485835178252,2.46553947123817,2.83685797386091
"39",39,188719,11281,183238,16762,9449,3968,2e+05,0,2e+05,0,0,0,8.10849263150431e-05,0.00527357965720959,0.00519249473089455,-0.000925583336470434,2.49724837295952,2.87404688863367
"40",40,192299,7701,187408,12592,7883,2992,2e+05,0,2e+05,0,0,0,3.05397542692372e-05,0.00499850209710036,0.00496796234283112,-0.00096106914006035,2.53045271345137,2.91178663187377
"41",41,194645,5355,190649,9351,6223,2227,2e+05,0,2e+05,0,0,0,-2.22056733662444e-05,0.0049004921776962,0.00492269785106244,-0.00086708430395357,2.56299126168737,2.94922895623964
"42",42,196666,3334,193359,6641,4841,1534,2e+05,0,2e+05,0,0,0,1.51743475469503e-05,0.00485859970034098,0.00484342535279403,-0.000830794344330392,2.59267631398283,2.9841677701004
"43",43,197879,2121,195469,4531,3484,1074,2e+05,0,2e+05,0,0,0,0.000219431157287233,0.00477262675114963,0.00455319559386239,-0.000809729376889182,2.62257352509755,3.01871404509026
"44",44,198800,1200,196968,3032,2498,666,2e+05,0,2e+05,0,0,0,7.94690825556111e-05,0.00458754719835619,0.00450807811580058,-0.000804477171446672,2.65357780627891,3.05466956560124
"45",45,199251,749,197854,2146,1815,418,2e+05,0,2e+05,0,0,0,4.68445264973901e-05,0.00448942215756837,0.00444257763107098,-0.000736984011472014,2.68319283753882,3.08912976195858
"46",46,199593,407,198655,1345,1198,260,2e+05,0,2e+05,0,0,0,-7.04485073841115e-05,0.0043143327154078,0.00438478122279191,-0.000836844512192655,2.71388729361264,3.12432242310705
"47",47,199764,236,199172,828,751,159,2e+05,0,2e+05,0,0,0,5.27198188990464e-05,0.00419969766951585,0.0041469778506168,-0.000788304102694742,2.74225105114717,3.15745838919548
"48",48,199873,127,199503,497,454,84,2e+05,0,2e+05,0,0,0,-0.000130145975549883,0.00411782432600709,0.00424797030155697,-0.000776363679843045,2.77111152040443,3.19128122499267
"49",49,199940,60,199691,309,292,43,2e+05,0,2e+05,0,0,0,4.17791030883025e-05,0.00409565256396254,0.00405387346087423,-0.000673286066768696,2.79975489206975,3.22429507608338
"50",50,199969,31,199812,188,181,24,2e+05,0,2e+05,0,0,0,-2.34941129372707e-05,0.00403961270699557,0.00406310681993284,-0.000729194049020913,2.82913309539367,3.25786381613889
"51",51,199987,13,199914,86,83,10,2e+05,0,2e+05,0,0,0,-5.35115089270936e-05,0.00391116157624821,0.0039646730851753,-0.000666412114710218,2.85755506522939,3.29084540587852
"52",52,199995,5,199944,56,55,4,2e+05,0,2e+05,0,0,0,5.9113302815735e-05,0.00388496859798586,0.00382585529517013,-0.000705972828639351,2.88436971953583,3.32222965201539
"53",53,199999,1,199985,15,15,1,2e+05,0,2e+05,0,0,0,-7.85083953532092e-05,0.0037689429401885,0.00384745133554171,-0.000731558274761042,2.9123441348597,3.35450604393241
"54",54,199999,1,199984,16,15,0,2e+05,0,2e+05,0,0,0,8.02239559787101e-05,0.00383708959461027,0.00375686563863156,-0.000684161132258379,2.93924626842073,3.38559884299162
"55",55,2e+05,0,199996,4,4,0,2e+05,0,2e+05,0,0,0,4.63846169124142e-05,0.00370962558832611,0.00366324097141369,-0.00066422540255715,2.96722109819843,3.41781125311009
"56",56,2e+05,0,199996,4,4,0,2e+05,0,2e+05,0,0,0,-4.81437769505026e-05,0.0035799567435241,0.0036281005204746,-0.000673499870108086,2.99371027553046,3.44863577066681
"57",57,2e+05,0,199997,3,3,0,2e+05,0,2e+05,0,0,0,-1.04987428762509e-05,0.00355459425637722,0.00356509299925347,-0.000572459747075828,3.02108294005793,3.47994817454774
"58",58,2e+05,0,2e+05,0,0,0,2e+05,0,2e+05,0,0,0,1.74850519585299e-05,0.00357727941004176,0.00355979435808323,-0.000675121724605996,3.0460293014655,3.509298017768
"59",59,2e+05,0,199999,1,1,0,2e+05,0,2e+05,0,0,0,4.55375288783428e-05,0.00341480418416955,0.00336926665529121,-0.000600106523248504,3.07280032789625,3.54027173280852
"60",60,2e+05,0,2e+05,0,0,0,2e+05,0,2e+05,0,0,0,6.62317517826232e-05,0.00335462047433001,0.00328838872254738,-0.00064336048490485,3.09818114018787,3.56968069902721
