N,A0_unstable,A0_stable,A1_unstable,A1_stable,A1_stabilised,A1_destabilised,A0_infeasible,A0_feasible,A1_infeasible,A1_feasible,A1_made_feasible,A1_made_infeasible,A0_rho,A1_rho,rho_diff,rho_abs,complex_A0,complex_A1,A0_eig,A1_eig,LCI_A0,UCI_A0,LCI_A1,UCI_A1
1,0,100000,0,100000,0,0,49865,50135,49865,50135,0,0,NA,NA,NA,NA,NA,NA,-0.998862567,-0.998862567,-1.9999368135,-4.18778508901596E-05,-1.9999368135,-4.18778508901596E-05
2,0,100000,0,100000,0,0,74874,25126,75046,24954,3515,3687,NA,NA,NA,NA,0.6381961953,0.6386803483,-1.0010809519,-0.7558124777,-1.9980130722,-0.0024190661,-1.9980130722,-1.1195722513957E-05
3,0,100000,0,100000,0,0,88227,11773,87878,12122,4126,3777,-0.0016282634,0.0514924059,0.0531206693,-0.0071120392,0.7062385486,0.7527334239,-0.914997389,-0.5844435752,-1.942434867,-0.0079637696,-1.9457147905,-2.63855560314189E-06
4,0,100000,0,100000,0,0,94890,5110,94546,5454,2840,2496,-0.0015723381,0.0443160605,0.0458883986,-0.006572449,0.8068437136,0.8847867695,-0.858106835,-0.4760973754,-1.938352022,-0.0533548077,-1.9362257409,-3.55474029564364E-06
5,2,99998,2,99998,0,0,98080,1920,97707,2293,1562,1189,-0.001149489,0.0361651468,0.0373146358,-0.0084568415,0.8968846881,0.9959538401,-0.8000773442,-0.3956598191,-1.7740514448,0.0594661515,-1.7595147606,0.0091600519
6,3,99997,3,99997,0,0,99329,671,99109,891,727,507,0.0014396926,0.0324874427,0.0310477501,-0.0057167856,0.982467736,1.1000765206,-0.7496157181,-0.3391691192,-1.6802403185,0.0623920004,-1.693104908,0.0462849921
7,13,99987,13,99987,0,0,99780,220,99734,266,229,183,0.0001027423,0.0278099986,0.0277072563,-0.0062615133,1.0602560567,1.1932055358,-0.7018201323,-0.2935550199,-1.637603465,0.2303455743,-1.6440554392,0.1154355688
8,27,99973,28,99972,0,1,99946,54,99910,90,83,47,-0.0002257067,0.0239545156,0.0241802223,-0.0057029653,1.1335317808,1.2810162907,-0.6563692026,-0.2573737966,-1.4911929394,0.2355741504,-1.4751907082,0.1217647102
9,76,99924,76,99924,0,0,99992,8,99979,21,21,8,-2.73451636519266E-05,0.0212701093,0.0212974545,-0.0044489974,1.201896698,1.3625488571,-0.6135236223,-0.2287237271,-1.4506285676,0.3130538288,-1.4291948262,0.3092895563
10,155,99845,159,99841,0,4,99998,2,99996,4,4,2,0.0003192041,0.0192480176,0.0189288135,-0.0038108854,1.2677020445,1.4403301493,-0.5712231362,-0.2033572487,-1.3683049348,0.1732672863,-1.2918214732,0.1661741704
11,243,99757,245,99755,0,2,100000,0,100000,0,0,0,9.13844191988872E-05,0.0178583709,0.0177669865,-0.0034707105,1.3277035945,1.5118052454,-0.5305754786,-0.1831990275,-1.3314158886,0.3316743167,-1.1836265243,0.2917989781
12,491,99509,497,99503,2,8,100000,0,100000,0,0,0,0.000154078,0.016191733,0.016037655,-0.0034441172,1.3860528979,1.579832584,-0.4914512076,-0.1660721237,-1.3186693085,0.3342521714,-1.0861333616,0.2859009803
13,724,99276,740,99260,1,17,100000,0,100000,0,0,0,0.0002529811,0.0153538943,0.0151009132,-0.0030685589,1.4439503067,1.6478060814,-0.4557105063,-0.1508147994,-1.2190408806,0.453265793,-0.9829535947,0.301574587
14,1253,98747,1277,98723,4,28,100000,0,100000,0,0,0,-0.0003031376,0.0145552184,0.014858356,-0.0028974795,1.4977264012,1.711308546,-0.4190640093,-0.1360594914,-1.1911812568,0.4737986711,-1.0000004057,0.4530955716
15,1818,98182,1869,98131,3,54,100000,0,100000,0,0,0,0.0002132199,0.0135227313,0.0133095114,-0.0027922513,1.5494293279,1.7712229009,-0.3837343693,-0.1237275267,-1.1274326083,0.4371537701,-0.926198793,0.3475735489
16,2694,97306,2780,97220,13,99,100000,0,100000,0,0,0,-0.0002499474,0.0121014376,0.0123513851,-0.0023452677,1.6008045773,1.831392599,-0.3512176649,-0.1120322104,-1.0889253891,0.6171699474,-0.8663496953,0.4482705323
17,3880,96120,3971,96029,38,129,100000,0,100000,0,0,0,-1.75777684917582E-05,0.0118788221,0.0118963999,-0.00193718,1.6491689776,1.8877956553,-0.3185037558,-0.1005074589,-0.9822586403,0.6110337169,-0.7587714777,0.5158753357
18,5234,94766,5414,94586,75,255,100000,0,100000,0,0,0,-0.0002873656,0.0110250932,0.0113124588,-0.0018608926,1.6977182021,1.9447034951,-0.2877047178,-0.0905110555,-0.9562503631,0.679563618,-0.8228962254,0.5965296855
19,7090,92910,7295,92705,163,368,100000,0,100000,0,0,0,0.0003210073,0.0105172308,0.0101962235,-0.0020832936,1.7430245533,1.9980132805,-0.2566288375,-0.0800350179,-0.9160566821,0.7262442593,-0.7361097373,0.6329713084
20,9142,90858,9447,90553,242,547,100000,0,100000,0,0,0,-0.000122722,0.0097914568,0.0099141788,-0.0018635235,1.7896162222,2.0520640232,-0.228139386,-0.0707143965,-0.8728617382,0.6411522982,-0.6315971978,0.5772515394
21,11835,88165,12240,87760,404,809,100000,0,100000,0,0,0,-0.0001036182,0.0095244663,0.0096280845,-0.0017741657,1.8337633024,2.1032639881,-0.1995073895,-0.0614048277,-0.9137964467,0.7110041811,-0.7590264064,0.6539180265
22,14773,85227,15185,84815,690,1102,100000,0,100000,0,0,0,0.0001353267,0.0089663737,0.008831047,-0.0017634081,1.8762032399,2.152776394,-0.1703539452,-0.0511621638,-0.7298459448,0.739193295,-0.629182229,0.8083196279
23,18292,81708,18865,81135,932,1505,100000,0,100000,0,0,0,2.15276837420447E-05,0.0085240351,0.0085025074,-0.0016657116,1.918697786,2.2021654,-0.1429672828,-0.0408937191,-0.7135995485,0.7093517781,-0.5417675738,0.685544718
24,22094,77906,22514,77486,1503,1923,100000,0,100000,0,0,0,0.0002388325,0.0082670693,0.0080282367,-0.0014330083,1.9590178573,2.2490004028,-0.1175662654,-0.0320380213,-0.7351840314,0.7841824963,-0.5516757402,0.7867140858
25,26878,73122,27114,72886,2117,2353,100000,0,100000,0,0,0,-0.000147176,0.0080365352,0.0081837112,-0.0015193589,2.001306584,2.2978524413,-0.0901604182,-0.0211394044,-0.7280273794,0.7882055348,-0.5013395736,0.8099850559
26,31514,68486,31609,68391,2763,2858,100000,0,100000,0,0,0,-0.0003324875,0.0077651852,0.0080976727,-0.0014887046,2.039396749,2.3424433256,-0.0655077959,-0.0113887031,-0.6132128641,0.8723640174,-0.4328704516,0.8244410274
27,36978,63022,36665,63335,3636,3323,100000,0,100000,0,0,0,7.02174074651724E-05,0.0074150457,0.0073448283,-0.0013822789,2.0794849888,2.3889242038,-0.0394248407,-0.0005667453,-0.5904102655,0.7502906853,-0.5542009759,0.8079891452
28,42731,57269,42183,57817,4343,3795,100000,0,100000,0,0,0,2.9934925330739E-05,0.0071774774,0.0071475425,-0.001274683,2.116896757,2.4319726711,-0.0152635834,0.0104231668,-0.5695161769,0.9654381905,-0.3504233688,0.7851766953
29,48445,51555,47373,52627,5203,4131,100000,0,100000,0,0,0,6.49717647299267E-05,0.0070047551,0.0069397834,-0.0013569783,2.1538129164,2.4758422514,0.0086768088,0.0216957431,-0.5590004207,0.9513241175,-0.378529841,0.9344778266
30,54472,45528,52694,47306,6226,4448,100000,0,100000,0,0,0,1.89269142245783E-05,0.0067463491,0.0067274222,-0.0013264633,2.1908422769,2.5182149139,0.0321385543,0.0334069839,-0.5164884169,0.8532094069,-0.3301786882,0.8470513672
31,60233,39767,57971,42029,6938,4676,100000,0,100000,0,0,0,-0.0003525723,0.0061647671,0.0065173394,-0.0013680773,2.227130325,2.5601549498,0.0552335468,0.0452207509,-0.5044273173,1.099417824,-0.3014068547,1.0968892513
32,66375,33625,63735,36265,7355,4715,100000,0,100000,0,0,0,-0.0001404806,0.0062129454,0.006353426,-0.0012612758,2.2627990445,2.6016482605,0.0788583791,0.0583428438,-0.519312641,0.9401363829,-0.2940496641,0.9907629706
33,71873,28127,68826,31174,7672,4625,100000,0,100000,0,0,0,-0.000283839,0.0057483263,0.0060321652,-0.0011476903,2.2972561654,2.642070366,0.1013725262,0.0711619198,-0.4473342314,1.0454770961,-0.2727522299,1.1037906837
34,77099,22901,73738,26262,7659,4298,100000,0,100000,0,0,0,-7.20146312285637E-05,0.0056591415,0.0057311562,-0.000871869,2.3326592337,2.6826778433,0.1239140927,0.0849468396,-0.3820805945,1.0808608967,-0.2627265953,1.041166073
35,81802,18198,78297,21703,7509,4004,100000,0,100000,0,0,0,1.8244263619286E-05,0.0058199873,0.005801743,-0.0009754571,2.3665472956,2.7217786416,0.1455988044,0.0985507688,-0.352638591,1.0933126992,-0.3384557065,1.0097877587
36,85916,14084,82221,17779,7133,3438,100000,0,100000,0,0,0,0.0001490585,0.005781578,0.0056325194,-0.0010402501,2.3988473499,2.7599095483,0.1670276591,0.11245928,-0.3588151434,1.0617039752,-0.2173462508,1.1058352118
37,89373,10627,86052,13948,6330,3009,100000,0,100000,0,0,0,-9.62586039166603E-05,0.0052894804,0.005385739,-0.0010845504,2.4331155427,2.7993709919,0.1878283175,0.1269839093,-0.3265576896,1.1363709689,-0.2222453751,1.117437875
38,92054,7946,88986,11014,5591,2523,100000,0,100000,0,0,0,-4.16278285853262E-05,0.0052906172,0.0053322451,-0.0008248955,2.4663849155,2.8375553354,0.208807746,0.1413585175,-0.2789560136,1.1680604169,-0.17190618,1.0645822428
39,94172,5828,91357,8643,4774,1959,100000,0,100000,0,0,0,6.66755573787293E-05,0.0053831994,0.0053165239,-0.0008840616,2.4973969427,2.8744465912,0.228549259,0.1563520344,-0.2734768784,1.1301192465,-0.2544034985,1.0518769858
40,96038,3962,93781,6219,3811,1554,100000,0,100000,0,0,0,-0.0001034105,0.0049965346,0.005099945,-0.0009757098,2.5309170673,2.9120112643,0.2494308393,0.1718876616,-0.2389936082,1.1815507431,-0.1719410363,1.2460524091
41,97467,2533,95415,4585,3132,1080,100000,0,100000,0,0,0,0.0001030317,0.00496263,0.0048595983,-0.0008945243,2.5613400414,2.9480566753,0.2694135861,0.18765684,-0.2989680398,1.1681165685,-0.1678061129,1.0753577468
42,98250,1750,96697,3303,2393,840,100000,0,100000,0,0,0,1.21518066251426E-05,0.0047436944,0.0047315426,-0.0008848657,2.5925591915,2.9839519529,0.2884508622,0.2023606105,-0.2257113228,1.148487247,-0.1382431794,1.535737813
43,98912,1088,97620,2380,1828,536,100000,0,100000,0,0,0,0.000027025,0.0046534567,0.0046264317,-0.0006415337,2.6236520068,3.0197446528,0.3082461874,0.2181359137,-0.1956116646,1.3508542168,-0.1750707785,1.3222043612
44,99351,649,98448,1552,1242,339,100000,0,100000,0,0,0,-3.51216582981405E-05,0.0045147321,0.0045498538,-0.0008455565,2.6522421786,3.0541715815,0.3265104726,0.2330631065,-0.1509221382,1.153825137,-0.1549199988,1.1839862196
45,99617,383,98975,1025,859,217,100000,0,100000,0,0,0,-0.000048407,0.0044028949,0.0044513019,-0.0008459467,2.6839627937,3.0897847542,0.3452445747,0.2489969531,-0.1746097824,1.2492485953,-0.0826136247,1.3644136019
46,99800,200,99343,657,571,114,100000,0,100000,0,0,0,-0.0001951509,0.0042342294,0.0044293803,-0.0008607351,2.7138501846,3.1243585576,0.3658944959,0.2659953709,-0.1077830611,1.2001766861,-0.0856282356,1.3052213585
47,99882,118,99602,398,367,87,100000,0,100000,0,0,0,6.84619356971526E-06,0.004272393,0.0042655468,-0.0008261431,2.7429675598,3.1581688028,0.3843916035,0.2821877783,-0.1118172526,1.253345337,-0.0779072689,1.3303386209
48,99932,68,99758,242,221,47,100000,0,100000,0,0,0,-0.0001121488,0.0040404137,0.0041525625,-0.000715081,2.7716510782,3.1915443804,0.4026479737,0.2971805932,-0.0965148243,1.3530318574,-0.0755695958,1.4723181057
49,99977,23,99840,160,151,14,100000,0,100000,0,0,0,-0.0001160268,0.0039742408,0.0040902676,-0.0007851326,2.7995452969,3.2243311402,0.4209904687,0.3128172409,-0.0469072555,1.2863772124,-0.0571727931,1.2434822425
50,99990,10,99921,79,74,5,100000,0,100000,0,0,0,3.98802758769859E-05,0.0040463408,0.0040064606,-0.0007860005,2.8277495095,3.2570129314,0.4383692731,0.3289321601,-0.115809754,1.2953286453,-0.0659058292,1.3884291286
51,99997,3,99963,37,36,2,100000,0,100000,0,0,0,3.44076526124016E-05,0.0039662628,0.0039318551,-0.000607466,2.8569483346,3.290279009,0.4564941678,0.3455930884,-0.0480512533,1.4038615268,-0.0461631464,1.4208470049
52,99999,1,99973,27,26,0,100000,0,100000,0,0,0,-2.37122639853657E-05,0.0039428114,0.0039665237,-0.0006785189,2.8839704871,3.3219804117,0.4740030509,0.3612854082,-0.024365904,1.3844211017,-0.0319980518,1.3741690733
53,99999,1,99986,14,14,1,100000,0,100000,0,0,0,2.55196466252817E-05,0.0038043922,0.0037788726,-0.0007327377,2.9126540107,3.3548986085,0.490679053,0.3765449823,-0.000026605,1.353682698,-0.0295113625,1.4774506584
54,100000,0,99995,5,5,0,100000,0,100000,0,0,0,9.04774183746396E-05,0.0037340669,0.0036435895,-0.0007280325,2.9390504086,3.3854391295,0.5086560259,0.3927956937,0.0049207366,1.444330315,-0.0190134254,1.5018252094
55,100000,0,99996,4,4,0,100000,0,100000,0,0,0,-0.0001197452,0.0037083994,0.0038281446,-0.000627493,2.9663882145,3.4166890108,0.5251972692,0.4087702465,0.0187992701,1.470151379,-0.0265261736,1.5016680607
56,100000,0,100000,0,0,0,100000,0,100000,0,0,0,6.08273132725495E-05,0.0035548567,0.0034940294,-0.0005853972,2.9949047236,3.4494591445,0.5425480187,0.4242474193,0.0600495119,1.4047494512,0.0031504199,1.4540985793
57,100000,0,99999,1,1,0,100000,0,100000,0,0,0,3.32979455900242E-05,0.003623519,0.0035902211,-0.0006848802,3.0191999656,3.4781356471,0.5596479209,0.4406382512,0.01975977,1.407954511,-0.0030526039,1.5367576407
58,100000,0,99999,1,1,0,100000,0,100000,0,0,0,5.30151526997023E-05,0.0034886456,0.0034356305,-0.0005624776,3.0453184486,3.5086090154,0.5755320899,0.4560148648,0.0890970335,1.4948335363,-0.0335573299,1.6460005975
59,100000,0,100000,0,0,0,100000,0,100000,0,0,0,-0.0001687386,0.0033587969,0.0035275355,-0.0005954691,3.0729403723,3.5400345609,0.5925438604,0.4714750403,0.0551595612,1.5393529233,0.0243523946,1.616194676
60,100000,0,100000,0,0,0,100000,0,100000,0,0,0,6.33202909149523E-05,0.0033287778,0.0032654575,-0.0006656143,3.0978258514,3.5688030449,0.6074086237,0.4860739271,0.1164697356,1.5536355887,0.0201365043,1.5175815559
