"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"1",2,63,99937,63,99937,63,99937,63,99937,84411,15589,84456,15544,87190,12810,88484,11516
"2",3,208,99792,208,99792,208,99792,208,99792,96581,3419,96643,3357,97823,2177,98320,1680
"3",4,671,99329,671,99329,676,99324,678,99322,99431,569,99455,545,99734,266,99836,164
"4",5,1571,98429,1573,98427,1577,98423,1590,98410,99924,76,99938,62,99977,23,99976,24
"5",6,3128,96872,3129,96871,3171,96829,3191,96809,99995,5,99995,5,99999,1,99998,2
"6",7,5514,94486,5513,94487,5600,94400,5643,94357,99996,4,99998,2,1e+05,0,1e+05,0
"7",8,9016,90984,9008,90992,9188,90812,9215,90785,1e+05,0,1e+05,0,1e+05,0,1e+05,0
"8",9,13417,86583,13410,86590,13704,86296,13779,86221,1e+05,0,1e+05,0,1e+05,0,1e+05,0
"9",10,19008,80992,19014,80986,19379,80621,19479,80521,1e+05,0,1e+05,0,1e+05,0,1e+05,0
"10",11,25377,74623,25377,74623,25731,74269,25909,74091,1e+05,0,1e+05,0,1e+05,0,1e+05,0
"11",12,33268,66732,33257,66743,33507,66493,33568,66432,1e+05,0,1e+05,0,1e+05,0,1e+05,0
"12",13,41755,58245,41724,58276,41516,58484,41549,58451,1e+05,0,1e+05,0,1e+05,0,1e+05,0
"13",14,50188,49812,50197,49803,49624,50376,49299,50701,1e+05,0,1e+05,0,1e+05,0,1e+05,0
"14",15,59107,40893,59161,40839,58020,41980,57447,42553,1e+05,0,1e+05,0,1e+05,0,1e+05,0
"15",16,67887,32113,67789,32211,65946,34054,65260,34740,1e+05,0,1e+05,0,1e+05,0,1e+05,0
"16",17,75745,24255,75656,24344,73378,26622,72527,27473,1e+05,0,1e+05,0,1e+05,0,1e+05,0
"17",18,82380,17620,82263,17737,79666,20334,78621,21379,1e+05,0,1e+05,0,1e+05,0,1e+05,0
"18",19,88064,11936,88002,11998,85403,14597,84128,15872,1e+05,0,1e+05,0,1e+05,0,1e+05,0
"19",20,92226,7774,92192,7808,89534,10466,88416,11584,1e+05,0,1e+05,0,1e+05,0,1e+05,0
"20",21,95301,4699,95232,4768,93073,6927,92082,7918,1e+05,0,1e+05,0,1e+05,0,1e+05,0
"21",22,97332,2668,97341,2659,95630,4370,94751,5249,1e+05,0,1e+05,0,1e+05,0,1e+05,0
"22",23,98537,1463,98533,1467,97258,2742,96474,3526,1e+05,0,1e+05,0,1e+05,0,1e+05,0
"23",24,99257,743,99242,758,98402,1598,97786,2214,1e+05,0,1e+05,0,1e+05,0,1e+05,0
"24",25,99676,324,99664,336,99132,868,98778,1222,1e+05,0,1e+05,0,1e+05,0,1e+05,0
"25",26,99865,135,99854,146,99506,494,99243,757,1e+05,0,1e+05,0,1e+05,0,1e+05,0
"26",27,99932,68,99932,68,99752,248,99610,390,1e+05,0,1e+05,0,1e+05,0,1e+05,0
"27",28,99983,17,99977,23,99898,102,99776,224,1e+05,0,1e+05,0,1e+05,0,1e+05,0
"28",29,99992,8,99991,9,99947,53,99900,100,1e+05,0,1e+05,0,1e+05,0,1e+05,0
"29",30,99998,2,99996,4,99979,21,99942,58,1e+05,0,1e+05,0,1e+05,0,1e+05,0
"30",31,1e+05,0,1e+05,0,99990,10,99982,18,1e+05,0,1e+05,0,1e+05,0,1e+05,0
"31",32,1e+05,0,1e+05,0,99992,8,99988,12,1e+05,0,1e+05,0,1e+05,0,1e+05,0
"32",33,1e+05,0,1e+05,0,99996,4,99997,3,1e+05,0,1e+05,0,1e+05,0,1e+05,0
"33",34,1e+05,0,1e+05,0,99999,1,99996,4,1e+05,0,1e+05,0,1e+05,0,1e+05,0
"34",35,1e+05,0,1e+05,0,99999,1,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0
"35",36,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0
"36",37,1e+05,0,1e+05,0,1e+05,0,99999,1,1e+05,0,1e+05,0,1e+05,0,1e+05,0
"37",38,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0
"38",39,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0
"39",40,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0
"40",41,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0
"41",42,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0
"42",43,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0
"43",44,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0
"44",45,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0
"45",46,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0
"46",47,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0
"47",48,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0
"48",49,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0
"49",50,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0
"50",51,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0
"51",52,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0
"52",53,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0
"53",54,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0
"54",55,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0
"55",56,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0
"56",57,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0
"57",58,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0
"58",59,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0
"59",60,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0
"60",61,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0
"61",62,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0
"62",63,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0
"63",64,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0
"64",65,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0
"65",66,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0
"66",67,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0
"67",68,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0
"68",69,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0
"69",70,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0
"70",71,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0
"71",72,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0
"72",73,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0
"73",74,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0
"74",75,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0
"75",76,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0
"76",77,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0
"77",78,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0
"78",79,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0
"79",80,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0
"80",81,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0
"81",82,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0
"82",83,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0
"83",84,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0
"84",85,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0
"85",86,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0
"86",87,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0
"87",88,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0
"88",89,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0
"89",90,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0
"90",91,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0
"91",92,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0
"92",93,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0
"93",94,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0
"94",95,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0
"95",96,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0
"96",97,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0
"97",98,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0
"98",99,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0
"99",100,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0,1e+05,0
