"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1",2,121,199879,0,0,121667,64004,4426,9903,121057,64354,4480,10109
"2",3,6742,193258,0,0,116887,57361,8904,16848,116380,57745,8778,17097
"3",4,68641,131359,0,0,103296,63093,13926,19685,104263,62468,13639,19630
"4",5,173203,26797,0,0,123467,45460,14872,16201,123848,45189,14978,15985
"5",6,199326,674,0,0,168518,13380,11048,7054,168800,13145,11037,7018
"6",7,199996,4,0,0,192303,1592,4499,1606,192196,1717,4447,1640
"7",8,2e+05,0,0,0,198510,145,1066,279,198567,142,1014,277
"8",9,2e+05,0,0,0,199771,10,180,39,199776,6,179,39
"9",10,2e+05,0,0,0,199975,0,23,2,199969,1,28,2
"10",11,2e+05,0,0,0,2e+05,0,0,0,199999,0,1,0
"11",12,2e+05,0,0,0,199999,0,1,0,2e+05,0,0,0
"12",13,2e+05,0,0,0,2e+05,0,0,0,2e+05,0,0,0
"13",14,2e+05,0,0,0,2e+05,0,0,0,2e+05,0,0,0
"14",15,2e+05,0,0,0,2e+05,0,0,0,2e+05,0,0,0
"15",16,2e+05,0,0,0,2e+05,0,0,0,2e+05,0,0,0
"16",17,2e+05,0,0,0,2e+05,0,0,0,2e+05,0,0,0
"17",18,2e+05,0,0,0,2e+05,0,0,0,2e+05,0,0,0
"18",19,2e+05,0,0,0,2e+05,0,0,0,2e+05,0,0,0
"19",20,2e+05,0,0,0,2e+05,0,0,0,2e+05,0,0,0
"20",21,2e+05,0,0,0,2e+05,0,0,0,2e+05,0,0,0
"21",22,2e+05,0,0,0,2e+05,0,0,0,2e+05,0,0,0
"22",23,2e+05,0,0,0,2e+05,0,0,0,2e+05,0,0,0
"23",24,2e+05,0,0,0,2e+05,0,0,0,2e+05,0,0,0
"24",25,2e+05,0,0,0,2e+05,0,0,0,2e+05,0,0,0
"25",26,2e+05,0,0,0,2e+05,0,0,0,2e+05,0,0,0
"26",27,2e+05,0,0,0,2e+05,0,0,0,2e+05,0,0,0
"27",28,2e+05,0,0,0,2e+05,0,0,0,2e+05,0,0,0
"28",29,2e+05,0,0,0,2e+05,0,0,0,2e+05,0,0,0
"29",30,2e+05,0,0,0,2e+05,0,0,0,2e+05,0,0,0
"30",31,2e+05,0,0,0,2e+05,0,0,0,2e+05,0,0,0
"31",32,2e+05,0,0,0,2e+05,0,0,0,2e+05,0,0,0
"32",33,2e+05,0,0,0,2e+05,0,0,0,2e+05,0,0,0
"33",34,2e+05,0,0,0,2e+05,0,0,0,2e+05,0,0,0
"34",35,2e+05,0,0,0,2e+05,0,0,0,2e+05,0,0,0
"35",36,2e+05,0,0,0,2e+05,0,0,0,2e+05,0,0,0
"36",37,2e+05,0,0,0,2e+05,0,0,0,2e+05,0,0,0
"37",38,2e+05,0,0,0,2e+05,0,0,0,2e+05,0,0,0
"38",39,2e+05,0,0,0,2e+05,0,0,0,2e+05,0,0,0
"39",40,2e+05,0,0,0,2e+05,0,0,0,2e+05,0,0,0
"40",41,2e+05,0,0,0,2e+05,0,0,0,2e+05,0,0,0
"41",42,2e+05,0,0,0,2e+05,0,0,0,2e+05,0,0,0
"42",43,2e+05,0,0,0,2e+05,0,0,0,2e+05,0,0,0
"43",44,2e+05,0,0,0,2e+05,0,0,0,2e+05,0,0,0
"44",45,2e+05,0,0,0,2e+05,0,0,0,2e+05,0,0,0
"45",46,2e+05,0,0,0,2e+05,0,0,0,2e+05,0,0,0
"46",47,2e+05,0,0,0,2e+05,0,0,0,2e+05,0,0,0
"47",48,2e+05,0,0,0,2e+05,0,0,0,2e+05,0,0,0
"48",49,2e+05,0,0,0,2e+05,0,0,0,2e+05,0,0,0
"49",50,2e+05,0,0,0,2e+05,0,0,0,2e+05,0,0,0
"50",51,2e+05,0,0,0,2e+05,0,0,0,2e+05,0,0,0
"51",52,2e+05,0,0,0,2e+05,0,0,0,2e+05,0,0,0
"52",53,2e+05,0,0,0,2e+05,0,0,0,2e+05,0,0,0
"53",54,2e+05,0,0,0,2e+05,0,0,0,2e+05,0,0,0
"54",55,2e+05,0,0,0,2e+05,0,0,0,2e+05,0,0,0
"55",56,2e+05,0,0,0,2e+05,0,0,0,2e+05,0,0,0
"56",57,2e+05,0,0,0,2e+05,0,0,0,2e+05,0,0,0
"57",58,2e+05,0,0,0,2e+05,0,0,0,2e+05,0,0,0
"58",59,2e+05,0,0,0,2e+05,0,0,0,2e+05,0,0,0
"59",60,2e+05,0,0,0,2e+05,0,0,0,2e+05,0,0,0
"60",61,2e+05,0,0,0,2e+05,0,0,0,2e+05,0,0,0
"61",62,2e+05,0,0,0,2e+05,0,0,0,2e+05,0,0,0
"62",63,2e+05,0,0,0,2e+05,0,0,0,2e+05,0,0,0
"63",64,2e+05,0,0,0,2e+05,0,0,0,2e+05,0,0,0
"64",65,2e+05,0,0,0,2e+05,0,0,0,2e+05,0,0,0
"65",66,2e+05,0,0,0,2e+05,0,0,0,2e+05,0,0,0
"66",67,2e+05,0,0,0,2e+05,0,0,0,2e+05,0,0,0
"67",68,2e+05,0,0,0,2e+05,0,0,0,2e+05,0,0,0
"68",69,2e+05,0,0,0,2e+05,0,0,0,2e+05,0,0,0
"69",70,2e+05,0,0,0,2e+05,0,0,0,2e+05,0,0,0
"70",71,2e+05,0,0,0,2e+05,0,0,0,2e+05,0,0,0
"71",72,2e+05,0,0,0,2e+05,0,0,0,2e+05,0,0,0
"72",73,2e+05,0,0,0,2e+05,0,0,0,2e+05,0,0,0
"73",74,2e+05,0,0,0,2e+05,0,0,0,2e+05,0,0,0
"74",75,2e+05,0,0,0,2e+05,0,0,0,2e+05,0,0,0
"75",76,2e+05,0,0,0,2e+05,0,0,0,2e+05,0,0,0
"76",77,2e+05,0,0,0,2e+05,0,0,0,2e+05,0,0,0
"77",78,2e+05,0,0,0,2e+05,0,0,0,2e+05,0,0,0
"78",79,2e+05,0,0,0,2e+05,0,0,0,2e+05,0,0,0
"79",80,2e+05,0,0,0,2e+05,0,0,0,2e+05,0,0,0
"80",81,2e+05,0,0,0,2e+05,0,0,0,2e+05,0,0,0
"81",82,2e+05,0,0,0,2e+05,0,0,0,2e+05,0,0,0
"82",83,2e+05,0,0,0,2e+05,0,0,0,2e+05,0,0,0
"83",84,2e+05,0,0,0,2e+05,0,0,0,2e+05,0,0,0
"84",85,2e+05,0,0,0,2e+05,0,0,0,2e+05,0,0,0
"85",86,2e+05,0,0,0,2e+05,0,0,0,2e+05,0,0,0
"86",87,2e+05,0,0,0,2e+05,0,0,0,2e+05,0,0,0
"87",88,2e+05,0,0,0,2e+05,0,0,0,2e+05,0,0,0
"88",89,2e+05,0,0,0,2e+05,0,0,0,2e+05,0,0,0
"89",90,2e+05,0,0,0,2e+05,0,0,0,2e+05,0,0,0
"90",91,2e+05,0,0,0,2e+05,0,0,0,2e+05,0,0,0
"91",92,2e+05,0,0,0,2e+05,0,0,0,2e+05,0,0,0
"92",93,2e+05,0,0,0,2e+05,0,0,0,2e+05,0,0,0
"93",94,2e+05,0,0,0,2e+05,0,0,0,2e+05,0,0,0
"94",95,2e+05,0,0,0,2e+05,0,0,0,2e+05,0,0,0
"95",96,2e+05,0,0,0,2e+05,0,0,0,2e+05,0,0,0
"96",97,2e+05,0,0,0,2e+05,0,0,0,2e+05,0,0,0
"97",98,2e+05,0,0,0,2e+05,0,0,0,2e+05,0,0,0
"98",99,2e+05,0,0,0,2e+05,0,0,0,2e+05,0,0,0
"99",100,2e+05,0,0,0,2e+05,0,0,0,2e+05,0,0,0
